"Nombre_plataforma","Nombre","id","latitud","longitud","linea_1","linea_2","linea_3","orden_linea_1","orden_linea_2","orden_linea_3","orden_linea_1_subida","orden_linea_1_bajada","orden_linea_2_subida","orden_linea_2_bajada","orden_linea_3_subida","orden_linea_3_bajada","sentido","L1_horario_1er_servicio_D","L1_horario_1er_servicio_L_V","L1_horario_1er_servicio_S","L2_horario_1er_servicio_D","L2_horario_1er_servicio_L_V","L2_horario_1er_servicio_S","L3_horario_1er_servicio_D","L3_horario_1er_servicio_L_V","L3_horario_1er_servicio_S"
"Hogar de Nazaret","Hogar de Nazaret",65,40.043086,-6.073821,1,0,0,NA,NA,NA,26,0,NA,NA,NA,NA,2,"08:02:00","08:02:00","08:02:00",NA,NA,NA,NA,NA,NA
"La Chimenea_bajada","La Chimenea",77,40.0276987,-6.0973645,0,1,0,NA,20,NA,NA,NA,NA,NA,NA,NA,0,"08:00:00","08:00:00","08:00:00","09:32:00","07:32:00","07:22:00",NA,NA,NA
"Iglesia San Miguel_bajada","Iglesia San Miguel",75,40.0253764,-6.0978609,0,1,0,NA,22,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"09:34:00","07:34:00","07:24:00",NA,NA,NA
"Gabriel y Galán 2_bajada","Gabriel y Galán 2",60,40.047408,-6.067597,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:26:00","07:26:00","07:26:00",NA,NA,NA,NA,NA,NA
"IES Virgen del Puerto_subida","IES Virgen del Puerto",74,40.043332,-6.085379,0,1,0,NA,16,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"10:01:00","08:01:00","07:51:00",NA,NA,NA
"Los arcos_bajada","Los arcos",80,40.036812,-6.086049,0,1,0,NA,10,NA,NA,NA,NA,NA,NA,NA,0,"08:21:00","08:21:00","08:21:00","10:14:00","08:14:00","08:04:00","07:37:00","07:32:00","08:17:00"
"Los Alamitos_subida","Los Alamitos",79,40.0412849,-6.0827133,1,0,1,17,NA,17,NA,NA,NA,NA,NA,NA,1,"07:52:00","07:52:00","07:52:00",NA,NA,NA,"07:37:00","07:32:00","08:17:00"
"ITV_bajada","ITV",76,40.0043942,-6.1175942,1,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,0,"08:00:00","08:00:00","08:00:00",NA,NA,NA,NA,NA,NA
"Los Alamitos _bajada","Los Alamitos ",78,40.041162,-6.082652,1,0,1,14,NA,12,NA,NA,NA,NA,NA,NA,0,"07:42:00","07:42:00","07:42:00",NA,NA,NA,"07:59:00","07:54:00","08:39:00"
"Martín Palomino 1_subida","Martín Palomino 1",86,40.012725,-6.106677,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,"08:05:00","08:05:00","08:05:00",NA,NA,NA,NA,NA,NA
"IES Virgen del Puerto_bajada","IES Virgen del Puerto",73,40.0433695,-6.0852192,0,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,"07:53:00","07:53:00","07:53:00","10:06:00","08:06:00","07:56:00",NA,NA,NA
"Martín Palomino 1_bajada","Martín Palomino 1",85,40.0127734,-6.1067515,1,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:56:00","07:56:00","07:56:00",NA,NA,NA,NA,NA,NA
"Palacio de Justicia_subida","Palacio de Justicia",94,40.046086,-6.0890051,0,0,1,NA,NA,26,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"07:43:00","07:38:00","08:23:00"
"Martín Palomino 2_subida","Martín Palomino 2",88,40.0104074,-6.1091246,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"08:04:00","08:04:00","08:04:00",NA,NA,NA,NA,NA,NA
"Martín Palomino 2_bajada","Martín Palomino 2",87,40.010953,-6.108586,1,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,0,"07:57:00","07:57:00","07:57:00",NA,NA,NA,NA,NA,NA
"Pablo Iglesias_subida","Pablo Iglesias",92,40.0426469,-6.0804457,1,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,1,"07:55:00","07:55:00","07:55:00",NA,NA,NA,NA,NA,NA
